C3255113,6101,0.287,0.597,0.007
C3260507,6101,0.256,0.711,0.006
C3273327,6101,0.242,0.732,0.005
C3282043,6102,0.648,0.336,0.007
C3287711,6102,0.221,0.552,0.005
C3289235,6102,0.232,0.747,0.023
C3294629,6102,0.453,0.629,0.007
C3300805,6103,0.662,0.789,0.008
C3303619,6103,0.247,0.268,0.008
C3309949,6103,0.351,0.817,0.008
C3327001,6104,0.222,0.712,0.005
C3328017,6104,0.572,0.41,0.008
C3333411,6104,0.271,0.662,0.008
C3337007,6104,0.555,0.389,0.012
C3339313,6104,0.483,0.599,0.01
C3344311,6104,0.191,0.756,0.009
C3349318,6104,0.755,0.423,0.006
C3350334,6105,0.277,0.761,0.009
C3353248,6105,0.437,0.93,0.006
C3353931,6105,0.32,0.657,0.006
C3354439,6105,0.197,0.817,0.009
C3357527,6105,0.626,0.168,0.005
C3364211,6105,0.662,0.27,0.006
C3372927,6105,0.771,0.558,0.004
C3374156,6105,0.218,0.05,0.029
C3375741,6105,0.729,0.577,0.009
C3380901,6106,0.16,0.687,0.006
C3381917,6106,0.347,0.57,0.011
C3382151,6106,0.113,0.066,0.047
C3385005,6106,0.236,0.321,0.011
C3387545,6106,0.257,0.431,0.011
C3387819,6106,0.697,0.59,0.006
C3388053,6106,0.683,0.637,0.004
C3390125,6106,0.591,0.762,0.011
C3390633,6106,0.258,0.111,0.101
C3392022,6106,0.283,0.105,0.083
C3393715,6106,0.374,0.549,0.012
C3396534,6106,0.325,0.111,0.107
C3397018,6106,0.417,0.853,0.012
C3397903,6106,0.526,0.972,0.023
C3397909,6106,0.276,0.976,0.035
C3397915,6106,0.499,0.564,0.012
C3397921,6106,0.538,0.495,0.012
C3397927,6106,0.859,0.019,0.068
C3398041,6106,0.287,0.154,0.161
C3399936,6106,0.289,0.755,0.012
C3400051,6106,0.199,0.144,0.153
C3400951,6106,0.285,0.976,0.032
C3400957,6106,0.781,0.02,0.108
C3401003,6106,0.371,0.558,0.012
C3401009,6106,0.317,0.408,0.013
C3401015,6106,0.503,0.401,0.439
C3401041,6106,0.273,0.976,0.037
C3401047,6106,0.117,0.987,0.048
C3402202,6106,0.297,0.114,0.092
C3404039,6106,0.286,0.976,0.037
C3404045,6106,0.328,0.982,0.152
C3404051,6106,0.382,0.417,0.013
C3404057,6106,0.48,0.435,0.013
C3404103,6106,0.503,0.394,0.436
C3405247,6106,0.329,0.15,0.159
C3405755,6106,0.143,0.168,0.137
C3406853,6106,0.485,0.971,0.068
C3406859,6106,0.189,0.983,0.083
C3406905,6106,0.47,0.512,0.013
C3406911,6106,0.532,0.368,0.012
C3406917,6106,0.503,0.4,0.439
C3407553,6106,0.414,0.141,0.148
C3408325,6106,0.235,0.141,0.149
C3409941,6106,0.279,0.976,0.04
C3409947,6106,0.105,0.987,0.044
C3409953,6106,0.557,0.606,0.013
C3409959,6106,0.383,0.568,0.013
C3410005,6107,0.503,0.4,0.439
C3413029,6107,0.484,0.971,0.068
