compositeId,imageId,volume,filter

# Uranus
C0896631,C0896631,8201,Clear
C0896631,C0896637,8201,Violet
C0896631,C0896644,8201,Orange
C0896631,C0896651,8201,Uv
C0896658,C0896658,8201,Ch4_Js
C0897059,C0897059,8201,Clear
C0897059,C0897105,8201,Violet
C0897059,C0897112,8201,Orange
C0897059,C0897119,8201,Uv
C0897126,C0897126,8201,Ch4_Js
C0897527,C0897527,8201,Clear
C0897527,C0897533,8201,Violet
C0897527,C0897540,8201,Orange
C0897527,C0897547,8201,Uv
C0897554,C0897554,8201,Ch4_Js
C0897955,C0897955,8201,Clear
C0897955,C0898001,8201,Violet
C0897955,C0898008,8201,Orange
C0897955,C0898015,8201,Uv
C0898022,C0898022,8201,Ch4_Js
C0898423,C0898423,8201,Clear
C0898423,C0898429,8201,Violet
C0898423,C0898436,8201,Orange
C0898423,C0898443,8201,Uv
C0898450,C0898450,8201,Ch4_Js
C0899747,C0899747,8201,Clear
C0899747,C0899753,8201,Violet
C0899747,C0899759,8201,Green
C0899747,C0899806,8201,Orange
C0899747,C0899813,8201,Uv
C0900213,C0900213,8201,Clear
C0900213,C0900219,8201,Violet
C0900213,C0900225,8201,Green
C0900233,C0900233,8201,Orange
C0900233,C0900240,8201,Uv
C0901910,C0901910,8201,Ch4_U
C0901910,C0901916,8201,Orange
C0901923,C0901923,8201,Clear
C0901930,C0901930,8201,Clear
C0901939,C0901939,8201,Ch4_Js
C0901945,C0901945,8201,Clear
C0901950,C0901950,8201,Ch4_Js
C0901956,C0901956,8201,Blue
C0901956,C0902002,8201,Violet
C0901956,C0902008,8201,Clear
C0901956,C0902014,8201,Green
C0901956,C0902021,8201,Orange
C0901956,C0902028,8201,Uv
C0902034,C0902034,8201,Blue
C0902034,C0902040,8201,Violet
C0902034,C0902046,8201,Clear
C0902034,C0902052,8201,Green
C0902034,C0902059,8201,Orange
C0902034,C0902106,8201,Uv
C0902112,C0902112,8201,Blue
C0902112,C0902118,8201,Violet
C0902112,C0902124,8201,Clear
C0902112,C0902130,8201,Green
C0902112,C0902137,8201,Orange
C0902112,C0902144,8201,Uv
C0902151,C0902151,8201,Clear
C0902151,C0902157,8201,Blue
C0902151,C0902203,8201,Violet
C0902209,C0902209,8201,Clear
C0902209,C0902215,8201,Green
C0902209,C0902222,8201,Orange
C0902209,C0902229,8201,Uv
C0902209,C0902235,8201,Blue
C0902209,C0902241,8201,Violet
C0902247,C0902247,8201,Clear
C0902247,C0902253,8201,Green
C0902247,C0902300,8201,Orange
C0902247,C0902307,8201,Uv
C0902247,C0902313,8201,Blue
C0902247,C0902319,8201,Violet
C0902325,C0902325,8201,Clear
C0902325,C0902331,8201,Green
C0902325,C0902338,8201,Orange
C0902325,C0902345,8201,Uv
C0902352,C0902352,8201,Clear
C0902352,C0902358,8201,Blue
C0902352,C0902404,8201,Violet
C0902410,C0902410,8201,Clear
C0902410,C0902416,8201,Green
C0902410,C0902423,8201,Orange
C0902410,C0902430,8201,Uv
C0902410,C0902436,8201,Blue
C0902410,C0902442,8201,Violet
C0902448,C0902448,8201,Clear
C0902448,C0902454,8201,Green
C0902448,C0902501,8201,Orange
C0902448,C0902508,8201,Uv
