fileid,volume,phase,craft,target,instrument,filter,note
C1385455,VGISS_5101,Jupiter,Voyager1,Dark,Wide,CLEAR,DARK CURRENT CALIBRATION; EXPOSURE DURATION FILLED IN BY PDS RINGS NODE
C1389407,VGISS_5101,Jupiter,Voyager1,Dark,Narrow,BLUE,DARK CURRENT CALIBRATION; EXPOSURE DURATION FILLED IN BY PDS RINGS NODE
C1389409,VGISS_5101,Jupiter,Voyager1,Dark,Wide,ORANGE,DARK CURRENT CALIBRATION; EXPOSURE DURATION FILLED IN BY PDS RINGS NODE
C1460413,VGISS_5101,Jupiter,Voyager1,Ganymede,Narrow,CLEAR,OPTICAL NAVIGATION
C1461430,VGISS_5101,Jupiter,Voyager1,Callisto,Narrow,CLEAR,OPTICAL NAVIGATION
C1462321,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,CLEAR,ISS BEAM BENDING TEST
C1462323,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,CLEAR,ISS BEAM BENDING TEST
C1462325,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,CLEAR,ISS BEAM BENDING TEST
C1462327,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,CLEAR,ISS BEAM BENDING TEST
C1462329,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,CLEAR,ISS BEAM BENDING TEST
C1462331,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,CLEAR,ISS BEAM BENDING TEST
C1462333,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,CLEAR,ISS BEAM BENDING TEST
C1462335,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,CLEAR,ISS BEAM BENDING TEST
C1462337,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,CLEAR,ISS BEAM BENDING TEST
C1462339,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,VIOLET,ISS BEAM BENDING TEST
C1462341,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,VIOLET,ISS BEAM BENDING TEST
C1462343,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ISS BEAM BENDING TEST
C1462345,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,BLUE,ISS BEAM BENDING TEST
C1462347,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ISS BEAM BENDING TEST
C1462349,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,ORANGE,ISS BEAM BENDING TEST
C1462351,VGISS_5101,Jupiter,Voyager1,Jupiter,Narrow,GREEN,ISS BEAM BENDING TEST
