# framerateConstants.csv
# This file controls the frame rate for different targets.
# --------------------------------------------------------------------------------

# The frame rate is calculated as nframes = frameRateConstant * imageFraction,
# so movie gets slower as get closer to the target - typically need to slow things 
# down for moons. 

# The default frameRateConstant is set in config.frameRateConstant, e.g. 60.
# The values in this file override the default.

# The frame rate is kind of arbitrary - it depends on how rapidly pictures were taken.

# Also see config.frameRateNCopiesMax, which sets the slowest speed, AFTER using
# these values.

# See also framerates.csv, which controls the frame rate for each image, overriding 
# all other settings. 


targetKey,frameRateConstant
# ----------------------------------------

Jupiter-Voyager1-Jupiter-Narrow,0.5
Jupiter-Voyager1-Jupiter-Wide,0.5
Jupiter-Voyager1-Callisto-Narrow,30
Jupiter-Voyager1-Callisto-Wide,1
Jupiter-Voyager1-Europa-Narrow,20
Jupiter-Voyager1-Europa-Wide,25
Jupiter-Voyager1-Ganymede-Narrow,15
Jupiter-Voyager1-Ganymede-Wide,2
Jupiter-Voyager1-Io-Narrow,15
Jupiter-Voyager1-Io-Wide,15

Saturn-Voyager1-Saturn-Narrow,1

Uranus-Voyager2-Uranus-Narrow,1
Uranus-Voyager2-Uranus-Wide,1

Neptune-Voyager2-Neptune-Narrow,1
Neptune-Voyager2-Neptune-Wide,1
Neptune-Voyager2-Triton-Narrow,30
Neptune-Voyager2-Triton-Wide,30

