imageId,distance(km),imageFraction
C0896631,117052008,0.05685
C0896637,117047185,0.05685
C0896644,117041559,0.05685
C0896651,117035932,0.05686
C0896658,117030305,0.0076
C0897059,116836589,0.05695
C0897105,116831766,0.05695
C0897112,116826140,0.05696
C0897119,116820513,0.05696
C0897126,116814887,0.00762
C0897527,116621170,0.05706
C0897533,116616348,0.05706
C0897540,116610721,0.05706
C0897547,116605094,0.05707
C0897554,116599468,0.00763
C0897955,116405751,0.05716
C0898001,116400928,0.05717
C0898008,116395302,0.05717
C0898015,116389675,0.05717
C0898022,116384049,0.00765
C0898423,116190332,0.05727
C0898429,116185509,0.05727
C0898436,116179882,0.05727
C0898443,116174255,0.05728
C0898450,116168629,0.00766
C0899747,115544068,0.05759
C0899753,115539245,0.05759
C0899759,115534422,0.05759
C0899806,115528795,0.0576
C0899813,115523168,0.0576
C0900213,115330252,0.0577
C0900219,115325429,0.0577
C0900225,115320606,0.0577
C0900233,115314175,0.0577
C0900240,115308549,0.05771
C0901910,114512758,0.00777
C0901916,114507935,0.00777
C0901923,114502308,0.05811
C0901930,114496681,0.05812
C0901939,114489447,0.00777
C0901956,114475781,0.05813
C0902002,114470958,0.05813
C0902008,114466135,0.05813
C0902014,114461312,0.05813
C0902021,114455685,0.05814
C0902028,114450059,0.05814
C0902034,114445235,0.05814
C0902040,114440412,0.05814
C0902046,114435589,0.05815
C0902052,114430766,0.05815
C0902059,114425140,0.05815
C0902106,114419513,0.05816
C0902112,114414690,0.05816
C0902118,114409867,0.05816
C0902124,114405044,0.05816
C0902130,114400221,0.05817
C0902137,114394594,0.05817
C0902144,114388967,0.05817
C0902151,114383340,0.05817
C0902157,114378517,0.05818
C0902203,114373694,0.05818
C0902209,114368871,0.05818
C0902215,114364048,0.05818
C0902222,114358421,0.05819
C0902229,114352794,0.05819
C0902235,114347971,0.05819
C0902241,114343148,0.05819
C0902247,114338325,0.0582
C0902253,114333502,0.0582
C0902300,114327875,0.0582
C0902307,114322248,0.0582
C0902313,114317425,0.05821
C0902319,114312602,0.05821
C0902325,114307779,0.05821
C0902331,114302956,0.05821
C0902338,114297329,0.05822
C0902345,114291702,0.05822
C0902352,114286075,0.05822
C0902358,114281252,0.05823
C0902404,114276429,0.05823
C0902410,114271606,0.05823
C0902416,114266783,0.05823
C0902423,114261156,0.05824
C0902430,114255529,0.05824
C0902436,114250706,0.05824
C0902442,114245883,0.05824
C0902448,114241060,0.05825
C0902454,114236237,0.05825
C0902501,114230610,0.05825
C0902508,114224983,0.05825
C0902514,114220160,0.05826
C0902520,114215337,0.05826
C0902526,114210514,0.05826
C0902532,114205691,0.05826
C0902539,114200064,0.05827
C0902546,114194437,0.05827
C0902552,114189614,0.05827
C0902558,114184791,0.05827
C0902604,114179968,0.05828
C0902611,114174341,0.05828
C0902618,114168714,0.05828
C0902903,114036080,0.05835
C0902909,114031257,0.05835
C0902916,114025630,0.05836
C0902923,114020003,0.05836
C0902930,114014376,0.0078
C0903331,113820648,0.05846
C0903337,113815825,0.05846
C0903345,113809394,0.05847
C0903352,113803767,0.05847
C0903359,113798141,0.00782
C0903759,113605216,0.05857
C0903805,113600393,0.05857
C0903812,113594766,0.05858
C0903819,113589139,0.05858
C0903826,113583512,0.00783
C0903842,113570651,0.05859
C0904227,113389783,0.05868
C0904233,113384960,0.05869
C0904240,113379333,0.05869
C0904247,113373706,0.05869
C0904254,113368079,0.00785
C0905525,112764382,0.05901
C0905530,112764684,0.00043
C0905551,112743482,0.05902
C0905557,112738659,0.05902
C0905603,112733836,0.05903
C0905610,112728209,0.05903
C0905617,112722582,0.05903
C0906017,112529656,0.05913
C0906023,112524833,0.05913
C0906029,112520009,0.05914
C0906037,112513579,0.05914
C0906044,112507952,0.05914
C0906249,107329819,0.00042
C0906255,107325273,0.00042
C0906301,107320726,0.00042
C0906319,112383354,0.05921
C0906324,112445267,0.00043
C0906447,112312614,0.05925
C0906453,112307791,0.05925
