"VGISS_7201","DATA/C24476XX/C2447654_RAW.LBL    ","C2447654_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","DARK      ","1743U2-080",24476.54,"1985-11-06T17:13:43","1985-11-06T19:54:13","NARROW ANGLE CAMERA","5:1 ","BODARK","LOW ","1:1 ","CLEAR ",0,   0.0050,"CALIBRATE DARK CURRENT                                                          ","11111111","NONE  "
"VGISS_7201","DATA/C24476XX/C2447659_RAW.LBL    ","C2447659_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","DARK      ","1748U2-080",24476.59,"1985-11-06T17:17:43","1985-11-06T19:58:13","WIDE ANGLE CAMERA  ","5:1 ","BODARK","LOW ","1:1 ","CLEAR ",2,   0.0050,"CALIBRATE DARK CURRENT                                                          ","11111111","NONE  "
"VGISS_7201","DATA/C24477XX/C2447705_RAW.LBL    ","C2447705_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","1754U2-080",24477.05,"1985-11-06T17:22:31","1985-11-06T20:03:01","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","GREEN ",5,   0.9600,"1 OF OPENING 7 37-HR MOVIE A1 MULTI-SPECTRAL ATMOSPHERIC DYNAMICS IMAGES        ","11111111","NONE  "
"VGISS_7201","DATA/C24477XX/C2447711_RAW.LBL    ","C2447711_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","1760U2-080",24477.11,"1985-11-06T17:27:19","1985-11-06T20:07:49","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_U ",6,  15.3600,"1 OF OPENING 7 37-HR MOVIE A1 MULTI-SPECTRAL ATMOSPHERIC DYNAMICS IMAGES        ","11111111","NONE  "
"VGISS_7201","DATA/C24477XX/C2447717_RAW.LBL    ","C2447717_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","1766U2-080",24477.17,"1985-11-06T17:32:07","1985-11-06T20:12:37","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","ORANGE",7,   3.8400,"1 OF OPENING 7 37-HR MOVIE A1 MULTI-SPECTRAL ATMOSPHERIC DYNAMICS IMAGES        ","11111111","NONE  "
"VGISS_7201","DATA/C24477XX/C2447723_RAW.LBL    ","C2447723_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","1772U2-080",24477.23,"1985-11-06T17:36:55","1985-11-06T20:17:25","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CH4_JS",0,  15.3600,"1 OF OPENING 7 37-HR MOVIE A1 MULTI-SPECTRAL ATMOSPHERIC DYNAMICS IMAGES        ","11111111","NONE  "
"VGISS_7201","DATA/C24477XX/C2447729_RAW.LBL    ","C2447729_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","1778U2-080",24477.29,"1985-11-06T17:41:43","1985-11-06T20:22:13","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","BLUE  ",1,   0.4800,"1 OF OPENING 7 37-HR MOVIE A1 MULTI-SPECTRAL ATMOSPHERIC DYNAMICS IMAGES        ","11111111","NONE  "
"VGISS_7201","DATA/C24477XX/C2447735_RAW.LBL    ","C2447735_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","1784U2-080",24477.35,"1985-11-06T17:46:31","1985-11-06T20:27:01","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","CLEAR ",2,   0.2400,"1 OF OPENING 7 37-HR MOVIE A1 MULTI-SPECTRAL ATMOSPHERIC DYNAMICS IMAGES        ","11111111","NONE  "
"VGISS_7201","DATA/C24477XX/C2447741_RAW.LBL    ","C2447741_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","1790U2-080",24477.41,"1985-11-06T17:51:19","1985-11-06T20:31:49","WIDE ANGLE CAMERA  ","5:1 ","WAONLY","LOW ","1:1 ","VIOLET",3,   1.4400,"1 OF OPENING 7 37-HR MOVIE A1 MULTI-SPECTRAL ATMOSPHERIC DYNAMICS IMAGES        ","11111111","NONE  "
"VGISS_7201","DATA/C24477XX/C2447746_RAW.LBL    ","C2447746_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","1795U2-080",24477.46,"1985-11-06T17:55:19","1985-11-06T20:35:49","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","UV    ",7,  11.5200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24477XX/C2447752_RAW.LBL    ","C2447752_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0001U2-079",24477.52,"1985-11-06T18:00:07","1985-11-06T20:40:37","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",0,   1.9200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24477XX/C2447758_RAW.LBL    ","C2447758_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0007U2-079",24477.58,"1985-11-06T18:04:55","1985-11-06T20:45:25","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","VIOLET",1,   5.7600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447804_RAW.LBL    ","C2447804_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0013U2-079",24478.04,"1985-11-06T18:09:43","1985-11-06T20:49:13","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","BLUE  ",2,   3.8400,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447810_RAW.LBL    ","C2447810_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0019U2-079",24478.10,"1985-11-06T18:14:31","1985-11-06T20:54:01","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","ORANGE",3,  15.3600,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
"VGISS_7201","DATA/C24478XX/C2447816_RAW.LBL    ","C2447816_RAW.IMG    ","DECOMPRESSED_RAW_IMAGE       ","VOYAGER 2","URANUS ENCOUNTER ","URANUS    ","0025U2-079",24478.16,"1985-11-06T18:19:19","1985-11-06T20:58:49","NARROW ANGLE CAMERA","5:1 ","NAONLY","LOW ","1:1 ","CLEAR ",4,   1.9200,"1 OF 37-HR MOVIE A1 MULTI-SPECTRAL ATMOS DYNAMICS IMAGES WITH POLAR EXPOSURES   ","11111111","NONE  "
